nest,site,year,id,FF_date,FirstFound,Est_Age,Confidence,LastPresent,LastChecked,Unk_Period,Fail_Adj,Fate,MaxExposure,LikExposure,Age_Adj,StartAge,EndAge,UTM_zone,UTM_easting,UTM_northing,eggs,nestlings,fledged,height,mite_mid,mite_late,Freq,
7,MAD,2018,7-MAD-2018,5/10/2019,130,7,Moderate,146,149,3,2,0,19,17.5,123,7,24.5,16T,381683,4439157,5,4,4,NA,NA,NA,1,
8,MAD,2018,8-MAD-2018,5/10/2019,130,7,Moderate,146,149,3,2,0,19,17.5,123,7,24.5,16T,381684,4439068,3,3,3,NA,NA,NA,1,
17,MAD,2018,17-MAD-2018,5/11/2019,131,8,Moderate,143,146,3,2,1,15,13.5,123,8,21.5,16T,381711,4439094,4,4,0,NA,NA,NA,1,
18,MAD,2018,18-MAD-2018,5/11/2019,131,8,Moderate,137,140,3,2,1,9,7.5,123,8,15.5,16T,381712,4439088,5,5,0,NA,NA,NA,1,
22,MAD,2018,22-MAD-2018,5/11/2019,131,4,Very Low,137,140,3,2,1,9,7.5,127,4,11.5,16T,381706,4439146,3,0,0,NA,NA,NA,1,
24,MAD,2018,24-MAD-2018,5/14/2019,134,12,Low,143,143,0,0,0,9,9,122,12,21,16T,381706,4439142,4,4,4,NA,NA,NA,1,
25,MAD,2018,25-MAD-2018,5/14/2019,134,3,Moderate,152,155,3,2,1,21,19.5,131,3,22.5,16T,381691,4439110,5,3,0,NA,NA,NA,1,
26,MAD,2018,26-MAD-2018,5/14/2019,134,2,High,155,158,3,2,1,24,22.5,132,2,24.5,16T,381695,4439105,5,5,0,NA,NA,NA,1,
27,MAD,2018,27-MAD-2018,5/14/2019,134,12,Low,146,146,0,0,0,12,12,122,12,24,16T,381693,4439063,3,1,1,NA,NA,NA,1,
28,MAD,2018,28-MAD-2018,5/14/2019,134,2,Very Low,158,158,0,0,1,24,24,132,2,26,16T,381678,4439144,4,0,0,NA,NA,NA,1,
29,MAD,2018,29-MAD-2018,5/14/2019,134,11,Low,143,146,3,2,1,12,10.5,123,11,21.5,16T,381680,4437098,5,4,0,NA,NA,NA,1,
30,MAD,2018,30-MAD-2018,5/20/2019,140,7,Very Low,140,143,3,2,1,3,1.5,133,7,8.5,16T,381668,4439072,2,0,0,NA,NA,NA,1,
31,MAD,2018,31-MAD-2018,5/20/2019,140,8,Moderate,152,154,2,1,1,14,13,132,8,21,16T,381672,4439063,4,4,0,NA,NA,NA,1,
32,MAD,2018,32-MAD-2018,5/20/2019,140,19,Low,146,146,0,0,0,6,6,121,19,25,16T,381672,4439063,4,4,4,NA,NA,NA,1,
34,MAD,2018,34-MAD-2018,5/20/2019,140,19,Low,146,146,0,0,0,6,6,121,19,25,16T,381700,4439101,4,4,3,NA,NA,NA,1,
37,MAD,2018,37-MAD-2018,5/20/2019,140,16,Low,149,149,0,0,0,9,9,124,16,25,16T,381715,4439082,4,4,3,NA,NA,NA,1,
38,MAD,2018,38-MAD-2018,5/20/2019,140,19,Low,146,146,0,0,0,6,6,121,19,25,16T,381722,4439106,4,4,3,NA,NA,NA,1,
40,MAD,2018,40-MAD-2018,5/20/2019,140,19,Low,146,146,0,0,0,6,6,121,19,25,16T,381710,4439101,3,3,3,NA,NA,NA,1,
41,MAD,2018,41-MAD-2018,5/20/2019,140,16,Low,149,149,0,0,0,9,9,124,16,25,16T,381681,4439128,4,4,3,NA,NA,NA,1,
42,MAD,2018,42-MAD-2018,5/23/2019,143,25,Low,143,143,0,0,0,0,0,118,25,25,16T,381668,4439078,5,5,5,NA,NA,NA,1,
43,MAD,2018,43-MAD-2018,5/23/2019,143,21,Low,146,146,0,0,0,3,3,122,21,24,16T,381727,4439129,3,3,3,NA,NA,NA,1,
46,MAD,2018,46-MAD-2018,6/1/2019,152,8,Very Low,161,161,0,0,1,9,9,144,8,17,16T,381700,4439144,5,0,0,NA,NA,NA,1,
47,MAD,2018,47-MAD-2018,6/10/2019,161,13,Low,167,171,4,3,1,10,8,148,13,21,16T,381706,4439087,4,3,0,NA,NA,NA,1,
1,CA,2018,1-CA-2018,4/26/2019,116,2,High,141,141,0,0,0,25,25,114,2,27,16T,403053,4437791,5,4,4,NA,NA,NA,1,
2,CA,2018,2-CA-2018,4/26/2019,116,2,High,120,121,1,0,1,5,4.5,114,2,6.5,NA,NA,NA,5,0,0,NA,NA,NA,1,
3,CA,2018,3-CA-2018,5/6/2019,126,0,Moderate,144,147,3,2,1,21,19.5,126,0,19.5,16T,403007,4437832,4,4,0,NA,NA,NA,1,
4,CA,2018,4-CA-2018,5/5/2019,125,2,High,135,138,3,2,1,13,11.5,123,2,13.5,16T,402904,4437892,4,0,0,NA,NA,NA,1,
6,CA,2018,6-CA-2018,5/12/2019,132,2,High,150,153,3,2,1,21,19.5,130,2,21.5,16T,403048,4437784,4,4,0,NA,NA,NA,1,
7,CA,2018,7-CA-2018,5/12/2019,132,14,Low,141,144,3,2,1,12,10.5,118,14,24.5,16T,403001,4437833,3,3,0,NA,NA,NA,1,
8,CA,2018,8-CA-2018,5/18/2019,138,2,Moderate,161,162,1,0,1,24,23.5,136,2,25.5,16T,403054,4437967,3,2,0,NA,NA,NA,1,
9,CA,2018,9-CA-2018,5/18/2019,138,17,Very Low,141,144,3,2,1,6,4.5,121,17,21.5,NA,NA,NA,4,4,0,NA,NA,NA,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
