nest,site,year,id,FF_date,FirstFound,Est_Age,Confidence,LastPresent,LastChecked,Unk_Period,Fail_Adj,Fate,MaxExposure,LikExposure,Age_Adj,StartAge,EndAge,UTM_zone,UTM_easting,UTM_northing,eggs,nestlings,fledged,height,mite_mid,mite_late,Freq,
1,BYRD,2019,1-BYRD-2019,4/25/2019,115,0,High,141,141,0,0,0,26,26,115,0,26,16T,405384,4424819,4,3,3,56,0,0,1,
2,BYRD,2019,2-BYRD-2019,4/27/2019,117,0,High,140,140,0,0,0,23,23,117,0,23,16T,405358,4424818,3,2,2,64,NA,NA,1,
3,BYRD,2019,3-BYRD-2019,4/27/2019,117,0,High,144,144,0,0,0,27,27,117,0,27,16T,405345,4424821,6,5,5,62,0,5,1,
5,BYRD,2019,5-BYRD-2019,4/19/2019,109,0,High,137,137,0,0,0,28,28,109,0,28,16T,405335,4424821,4,4,4,60,0,NA,1,
7,BYRD,2019,7-BYRD-2019,4/26/2019,116,0,High,142,142,0,0,0,26,26,116,0,26,16T,405333,4424817,4,4,3,100,0,0,1,
8,BYRD,2019,8-BYRD-2019,4/23/2019,113,0,High,134,137,3,2,1,24,22.5,113,0,22.5,16T,405317,4424817,4,3,0,124,NA,NA,1,
12,BYRD,2019,12-BYRD-2019,4/25/2019,115,0,High,141,141,0,0,0,26,26,115,0,26,16T,405300,4424817,4,4,4,119,0,0,1,
13,BYRD,2019,13-BYRD-2019,4/22/2019,112,0,High,140,140,0,0,0,28,28,112,0,28,16T,405283,4424819,3,3,3,59,0,NA,1,
14,BYRD,2019,14-BYRD-2019,4/11/2019,101,0,Very Low,120,124,4,3,1,23,21,101,0,21,16T,405282,4424822,1,0,0,70,NA,NA,1,
15,BYRD,2019,15-BYRD-2019,4/25/2019,115,0,High,147,147,0,0,0,32,32,115,0,32,16T,405274,4424821,5,5,5,63,0,0,1,
17,BYRD,2019,17-BYRD-2019,4/11/2019,101,0,High,132,132,0,0,0,31,31,101,0,31,16T,405274,4424818,5,5,5,93,0,0,1,
18,BYRD,2019,18-BYRD-2019,4/11/2019,101,0,High,127,127,0,0,0,26,26,101,0,26,16T,405264,4424817,5,5,3,131,0,NA,1,
19,BYRD,2019,19-BYRD-2019,4/18/2019,108,0,High,134,134,0,0,0,26,26,108,0,26,16T,405259,4424824,5,5,5,69,0,0,1,
20,BYRD,2019,20-BYRD-2019,4/22/2019,112,0,High,137,137,0,0,0,25,25,112,0,25,16T,405251,4424824,2,2,2,130,0,0,1,
21,BYRD,2019,21-BYRD-2019,4/14/2019,104,0,High,124,127,3,2,1,23,21.5,104,0,21.5,16T,405249,4424823,5,4,0,67,0,NA,1,
22,BYRD,2019,22-BYRD-2019,4/10/2019,100,0,High,128,128,0,0,0,28,28,100,0,28,16T,405243,4424824,5,4,3,91,0,0,1,
23,BYRD,2019,23-BYRD-2019,4/27/2019,117,0,High,144,144,0,0,0,27,27,117,0,27,16T,405242,4424821,4,3,3,131,NA,24,1,
24,BYRD,2019,24-BYRD-2019,4/19/2019,109,0,High,137,137,0,0,0,28,28,109,0,28,16T,405238,4424817,4,4,4,113,0,NA,1,
25,BYRD,2019,25-BYRD-2019,4/26/2019,116,0,High,144,144,0,0,0,28,28,116,0,28,16T,405238,4422817,4,4,4,75,NA,NA,1,
26,BYRD,2019,26-BYRD-2019,4/25/2019,115,0,High,120,124,4,3,1,9,7,115,0,7,16T,405238,4424807,3,0,0,144,NA,NA,1,
27,BYRD,2019,27-BYRD-2019,4/20/2019,110,0,High,137,137,0,0,0,27,27,110,0,27,16T,405236,4424799,5,5,4,64,0,0,1,
28,BYRD,2019,28-BYRD-2019,4/14/2019,104,0,High,134,134,0,0,0,30,30,104,0,30,16T,405235,4424795,5,5,5,65,0,0,1,
30,BYRD,2019,30-BYRD-2019,4/22/2019,112,0,High,140,140,0,0,0,28,28,112,0,28,16T,405236,4424788,5,4,4,78,NA,NA,1,
31,BYRD,2019,31-BYRD-2019,4/11/2019,101,0,High,131,131,0,0,0,30,30,101,0,30,16T,405239,4424784,5,3,3,69,0,0,1,
32,BYRD,2019,32-BYRD-2019,4/21/2019,111,0,High,140,140,0,0,0,29,29,111,0,29,16T,405237,4424783,4,4,4,127,0,0,1,
33,BYRD,2019,33-BYRD-2019,4/23/2019,113,0,High,150,150,0,0,0,37,37,113,0,37,16T,405240,4424778,4,2,2,65,0,0,1,
35,BYRD,2019,35-BYRD-2019,4/23/2019,113,0,High,140,140,0,0,0,27,27,113,0,27,16T,405237,4424762,4,4,4,66,0,0,1,
37,BYRD,2019,37-BYRD-2019,4/30/2019,120,0,High,147,147,0,0,0,27,27,120,0,27,16T,405245,4424759,5,4,4,111,11,NA,1,
38,BYRD,2019,38-BYRD-2019,4/21/2019,111,0,High,140,140,0,0,0,29,29,111,0,29,16T,405245,4424759,5,5,4,110,0,0,1,
39,BYRD,2019,39-BYRD-2019,4/11/2019,101,0,High,131,131,0,0,0,30,30,101,0,30,16T,405244,4424705,5,4,4,110,0,0,1,
40,BYRD,2019,40-BYRD-2019,4/21/2019,111,0,High,137,137,0,0,0,26,26,111,0,26,16T,405246,4424799,4,4,4,129,0,NA,1,
42,BYRD,2019,42-BYRD-2019,4/28/2019,118,0,High,147,147,0,0,0,29,29,118,0,29,16T,405246,4424803,5,5,5,111,0,65,1,
43,BYRD,2019,43-BYRD-2019,4/15/2019,105,0,High,134,134,0,0,0,29,29,105,0,29,16T,405245,4424805,4,4,4,140,0,0,1,
48,BYRD,2019,48-BYRD-2019,4/25/2019,115,0,High,144,144,0,0,0,29,29,115,0,29,16T,405591,4424812,5,5,5,94,0,0,1,
49,BYRD,2019,49-BYRD-2019,4/23/2019,113,0,High,137,140,3,2,1,27,25.5,113,0,25.5,16T,405613,4424815,5,3,0,86,NA,NA,1,
50,BYRD,2019,50-BYRD-2019,4/23/2019,113,0,High,127,132,5,4,1,19,16.5,113,0,16.5,16T,405620,4424816,4,0,0,127,NA,NA,1,
52,BYRD,2019,52-BYRD-2019,4/18/2019,108,0,High,134,134,0,0,0,26,26,108,0,26,16T,405623,4424815,5,4,4,71,0,0,1,
53,BYRD,2019,53-BYRD-2019,4/23/2019,113,0,High,127,132,5,4,1,19,16.5,113,0,16.5,16T,405626,4424817,5,0,0,129,NA,NA,1,
54,BYRD,2019,54-BYRD-2019,4/26/2019,116,0,High,134,137,3,2,1,21,19.5,116,0,19.5,16T,405635,4424817,5,4,0,52,NA,NA,1,
55,BYRD,2019,55-BYRD-2019,4/22/2019,112,0,High,117,120,3,2,1,8,6.5,112,0,6.5,16T,405640,442815,5,0,0,119,NA,NA,1,
56,BYRD,2019,56-BYRD-2019,5/6/2019,126,0,High,147,147,0,0,0,21,21,126,0,21,16T,405664,4424810,3,2,2,116,0,NA,1,
57,BYRD,2019,57-BYRD-2019,4/28/2019,118,0,High,144,147,3,2,1,29,27.5,118,0,27.5,16T,405327,4424820,5,5,0,100,0,0,1,
58,BYRD,2019,58-BYRD-2019,4/26/2019,116,0,High,144,144,0,0,0,28,28,116,0,28,16T,405322,4424819,5,5,5,58,0,3,1,
59,BYRD,2019,59-BYRD-2019,4/23/2019,113,0,High,141,141,0,0,0,28,28,113,0,28,16T,405292,4424819,4,4,4,59,0,178,1,
60,BYRD,2019,60-BYRD-2019,4/20/2019,110,0,High,120,124,4,3,1,14,12,110,0,12,16T,405293,4424819,5,0,0,127,NA,NA,1,
61,BYRD,2019,61-BYRD-2019,4/30/2019,120,0,High,150,150,0,0,0,30,30,120,0,30,16T,405273,4424822,2,2,2,133,NA,NA,1,
62,BYRD,2019,62-BYRD-2019,4/25/2019,115,0,High,141,141,0,0,0,26,26,115,0,26,16T,405248,4424821,3,1,1,127,0,0,1,
63,BYRD,2019,63-BYRD-2019,5/13/2019,133,0,High,162,162,0,0,0,29,29,133,0,29,16T,405245,4424753,5,5,3,93,0,7,1,
66,BYRD,2019,66-BYRD-2019,4/24/2019,114,0,High,137,140,3,2,1,26,24.5,114,0,24.5,16T,405565,4424813,5,4,0,142,NA,NA,1,
68,BYRD,2019,68-BYRD-2019,4/18/2019,108,0,High,137,137,0,0,0,29,29,108,0,29,16T,405578,4424817,6,6,4,65,0,NA,1,
69,BYRD,2019,69-BYRD-2019,4/25/2019,115,0,High,132,134,2,1,1,19,18,115,0,18,16T,405583,4424816,5,5,0,40,NA,NA,1,
70,BYRD,2019,70-BYRD-2019,4/22/2019,112,0,High,140,140,0,0,0,28,28,112,0,28,16T,405341,4424823,4,4,4,57,NA,NA,1,
74,BYRD,2019,74-BYRD-2019,4/23/2019,113,0,High,141,141,0,0,0,28,28,113,0,28,16T,405264,4424817,6,6,4,118,0,NA,1,
